3 156598.68070953435
4 143637.35476718404
5 138527.68292682926
6 135197.0975609756
7 129503.16851441242
8 128044.51662971175
9 127277.55432372505
10 127298.14855875832
11 126680.32150776053
12 127051.17738359202
13 127030.51219512195
14 128167.58536585367
15 128548.52549889135
16 129450.9733924612
17 129546.66740576497
18 130112.82261640798
19 130289.61640798226
20 130997.28381374723
21 131230.71175166298
22 132307.24390243902
23 132611.7760532151
24 133847.16407982263
25 134266.52328159646
26 135949.44567627495
27 136439.42793791575
28 138322.55210643014
29 138963.47893569845
30 141378.52549889137
31 142046.75831485586
32 144000.51884700666
33 144423.69623059867
34 145774.15742793793
35 146045.0953436807
36 146838.71840354768
37 147048.34368070954
38 147744.33924611972
39 147966.96452328158
40 148722.62749445677
41 148977.59423503326
42 149853.30598669624
43 150138.02882483372
44 151078.56762749446
45 151393.29711751663
46 152470.56984478937
47 152822.25942350333
48 153971.0
49 154349.90022172948
50 155655.70731707316
